Value,Device,Package,Part
0.1uF,0.1UF-0603-25V-(+80/-20%),0603,1
USB_MICROB,USB_MICROB,USB_MICROB_PACKAGE,1
ULN2003AD,ULN2003AD,SO16,1
SDP5XX_6XX,SDP5XX_6XX,SDP5XX_6XX,1
RESET,SWITCH-MOMENTARY-2SMD-4.6X2.8MM,TACTILE_SWITCH_SMD_4.6X2.8MM,1
RED,LED0603,LED-0603,1
PHOENIX_PTSM_M6_TH,PHOENIX_PTSM_M6_TH,PTSM_M6_THRHOLE,1
PHOENIX_PTSM_M5_TH,PHOENIX_PTSM_M5_TH,PTSM_M5_THRHOLE,1
MB85RC256VPF-G-JNERE2,FRAM_SOIC8_I2C,SOIC8_208MIL,1
JUMPER-SMT_3_1-NC_PASTE_SILK,JUMPER-SMT_3_1-NC_PASTE_SILK,SMT-JUMPER_3_1-NC_PASTE_SILK,1
JUMPER-SMT_2_NC_PASTE_NO-SILK,JUMPER-SMT_2_NC_PASTE_NO-SILK,SMT-JUMPER_2_NC_PASTE_NO-SILK,1
FB-30Ohm,INDUCTOR0603,0603,1
CORTEX_DEBUGPTH,CORTEX_DEBUGPTH,2X5-PTH-1.27MM,1
AP2112/MIC5219,VREG_SOT23-5,SOT23-5,1
470?,10KOHM-1/10W-1%(0603)0603,0603-RES,1
ATSAMD21G-A,ATSAMD21G-A,TQFP-48,1
330?,10KOHM-1/10W-1%(0603)0603,0603-RES,1
100k,RESISTOR_0603_NOOUT,0603-NO,1
330,RESISTOR_0603_NOOUT,0603-NO,1
32.768kHz,CRYSTAL3.2X1.5MM,CRYSTAL-SMD-3.2X1.5MM,1
100pF,100PF-0603-50V-5%,0603,1
10K,10KOHM-1/10W-1%(0603)0603,0603-RES,1
1k,RESISTOR_0603_NOOUT,0603-NO,1
10uF,CAP_CERAMIC0603_NO,0603-NO,1
TEST-POINTTP_15TH_THRU,TEST-POINTTP_15TH_THRU,TP_15TH,2
15pF,15PF-50V(+-5%)(0402),0402-CAP,2
WS2812B3535,WS2812B3535,LED3535,2
DLC-L01G-U2,DLC-L01G-U2,DLC-L01G-U2,2
WP,JUMPER-SMT_2_NO_NO-SILK,SMT-JUMPER_2_NO_NO-SILK,2
1uF,CAP_CERAMIC0603_NO,0603-NO,3
0.1uF,0.1UF-16V(+-10%)(0402),0402-CAP,3
10uF,10UF-0805-10V-10%,0805,4
PHOENIX_PTSM_M2_SMD,PHOENIX_PTSM_M2_SMD,PTSM_M2_SMD,4
1k,10KOHM-1/10W-1%(0603)0603,0603-RES,6
4.7K,4.7KOHM-1/10W-1%(0603),0603-RES@1,6
GREEN,LED0603,LED-0603,7
